Organization,Country,Website,Type,Status,Contact Name,Email,Draft,Notes
ABRAMUS,Brazil,http://www.abramus.org.br,Multi-rightholder CMO,New,,,"Subject: Automating rights collection for ABRAMUS

Hi [Name],

I noticed ABRAMUS represents a significant roster of performers in Brazil. Managing rights collection across borders can be complex...

At Noctil, we specialize in helping rights holders like ABRAMUS streamline this process...",Phone: +55 21 3078 1391
ACTRA PRS,Canada,https://actraracs.ca/,Performers-only CMO,New,,,,Phone: +1 416 489 1311 5021
ADAMI,France,https://www.adami.fr,Performers-only CMO,New,,,,Phone: +33 1 446 310 04
AGATA,Lithuania,http://www.agata.lt,Multi-rightholder CMO,New,,,,Phone: +370 5 277 88 99 
AIE,Spain,https://www.aie.es/en/,Performers-only CMO,New,,,,Phone: +34 917 81 98 66
AIPA,Slovenia,http://www.aipa.si,Multi-rightholder CMO,New,,,,Phone: +386 1 755 62 19
AIS,Bosnia and Herzegovina,https://www.aisbih.org,Performers-only CMO,New,,,,Phone: +387 33 425 400
AISGE,Spain,http://www.aisge.es,Performers-only CMO,New,,,,Phone: +34 630 932 848
AMANAT,Kazakhstan,http://www.kazamanat.kz/,Multi-rightholder CMO,New,,,,Phone: +7 727 313 17 02
APOLLON,Greece,http://www.apollon.org.gr,Performers-only CMO,New,,,,Phone: +30 210 325 2980
ARTISTI,Canada,http://www.artisti.ca,Performers-only CMO,New,,,,Phone: +1 514 288 7150
ARTISTI7607,Italy,https://www.artisti7607.com/en/,Performers-only CMO,New,,,,Phone: +39 06 45472189
BECS,Great Britain,https://becs.org.uk/,Performers-only CMO,New,,,,Phone: +44 203 946 7800
BMDAV,Morocco,https://www.bmda.ma,Multi-rightholder CMO,New,,,,Phone: +212 537 72 62 80
CPRA/GEIDANKYO,Japan,http://www.cpra.jp,Performers-only CMO,New,,,,Phone: +81 3 5353 6600
CREDIDAM,Romania,http://www.credidam.ro,Performers-only CMO,New,,,,Phone: +40 21 307 9200
EEL,Estonia,http://www.eel.ee,Performers-only CMO,New,,,,Phone: +372 650 51 71
EJI,Hungary,http://www.eji.hu,Performers-only CMO,New,,,,Phone: +36 147 951 69
ERATO,Greece,http://eratospe.org,Performers-only CMO,New,,,,Phone: +30 210 823 80 74
ESHKOLOT,Israel,https://eshkolot.co.il/,Performers-only CMO,New,,,,Phone: +972 3 525 37 37
FILMEX,Denmark,https://www.filmex.dk,Performers-only CMO,New,,,,Phone: +45 332 608 45
FKMP,South Korea,https://www.fkmp.kr/eng/,Performers-only CMO,New,,,,Phone: +82 2 745 8286
GDA,Portugal,http://www.gda.pt,Performers-only CMO,New,,,,Phone: +351 297 982 366
GOS,Serbia,https://gos.rs/,Performers-only CMO,New,,,,Phone: N/A
GRAMEX DENMARK,Denmark,http://www.gramex.dk,Multi-rightholder CMO,New,,,,Phone: +45 338 532 00
GRAMEX FINLAND,Finland,http://www.gramex.fi,Multi-rightholder CMO,New,,,,Phone: +358 40 500 1591
GRAMO,Norway,http://www.gramo.no,Multi-rightholder CMO,New,,,,Phone: +47 900 948 82
GVL,Germany,http://www.gvl.de,Multi-rightholder CMO,New,,,,Phone: +49 30 48483
HUZIP,Croatia,http://www.huzip.hr,Performers-only CMO,New,,,,Phone: +385 (1) 30 33 603
INTERGRAM,Czech Republic,http://www.intergram.cz/en/,Multi-rightholder CMO,New,,,,Phone: +420 221 871 970
IPF,Slovenia,http://www.ipf.si,Multi-rightholder CMO,New,,,,Phone: +386 527 29 32
ISAMRA,India,https://www.isamracopyright.com.,Performers-only CMO,New,,,,Phone: +91 22 401 046 66
ITSRIGHT,Italy,https://www.itsright.it,Performers-only CMO,New,,,,Phone: +39 0 289 056 654
LAIPA,Latvia,http://www.laipa.org,Performers-only CMO,New,,,,Phone: +371 67605023
LSG,AUT,www.lsg-interpreten.com,Performers-only CMO,New,,,,Phone: +43 1 587 1792
MUSICARTES,Guatemala,https://musicartes.org/,Performers-only CMO,New,,,,Phone: +502 2316 8116
MUYORBIR,Turkey,https://muyorbir.org.tr,Performers-only CMO,New,,,,Phone: +90 212 241 74 76
Norma,The Netherlands,http://www.stichtingnorma.nl,Performers-only CMO,New,,,,Phone: +31 (0) 35 62 51 770
NUOVO IMAIE,Italy,http://www.nuovoimaie.it,Performers-only CMO,New,,,,Phone: +39 (0) 646 208 203
PLAYRIGHT,Belgique,http://www.playright.be,Performers-only CMO,New,,,,Phone: +32 (0)2 421 53 42
PPL,GBR,http://www.ppluk.com,Multi-rightholder CMO,New,,,,Phone: 020 7534 1185
PRAVA INTERPRETATORA,SRB,https://www.pravainterpretatora.org/,Performers-only CMO,New,,,,Phone: +381.11.3223.831
PROPHON,Bulgaria,https://www.prophon.org/en,Multi-rightholder CMO,New,,,,Phone: +359 2 9981 45 41
RAAP,Irland,http://www.raap.ie,Performers-only CMO,New,,,,Phone: +353 1 278 8724
RASI,Italy,https://www.reteartistispettacolo.it,Performers-only CMO,New,,,,Phone: +39 06 943 59 83
RAYS,Azerbaijan ,https://rays.az/,Multi-rightholder CMO,New,,,,Phone: +994 12 310 00 15
RPM,Malaysia,https://www.rpm.my,Performers-only CMO,New,,,,Phone: +60 3 6411 8336
SAGAI,Argentina,https://www.sagai.org,Performers-only CMO,New,,,,Phone: +54 1152190632
SAMI,Sweden,https://www.sami.se,Performers-only CMO,New,,,,Phone: +46 84533400
SAMPRA,South Africa,https://www.sampra.org.za,Multi-rightholder CMO,New,,,,Phone: +27 11 561 9660
SAWP,Poland,https://www.sawp.pl,Performers-only CMO,New,,,,Phone: +48 22 624 71 27
SCD,Chile,https://www.scd.cl,Multi-rightholder CMO,New,,,,Phone: +56 2 2370 8000
SENA,The Netherlands,http://www.sena.nl,Multi-rightholder CMO,New,,,,Phone: +31 356 251 700
SFH,Iceland,https://sfh.is,Performers-only CMO,New,,,,Phone: +354 899 5687
SLOVGRAM,Slovakia,http://www.slovgram.sk,Multi-rightholder CMO,New,,,,Phone: +421 2 5296 3166
SOCINPRO,Brazil,http://www.socinpro.org.br,Multi-rightholder CMO,New,,,,Phone: +55 (21) 2220 3580
SODAV,Senegal,https://www.lasodav.sn,Multi-rightholder CMO,New,,,,Phone: +221 33 889 01 86
SPEDIDAM,France,https://spedidam.fr/,Performers-only CMO,New,,,,Phone: +33 1 44 18 58 58
STOART,Poland,http://www.stoart.org.pl,Performers-only CMO,New,,,,Phone: +48 22 55 69 200
SWISSPERFORM,Switzerland ,http://www.swissperform.ch,Multi-rightholder CMO,New,,,,Phone: +41 44 269 70 63
UBC,Brazil,http://www.ubc.org.br,Multi-rightholder CMO,New,,,,Phone: +55 (21) 2223 3233
ULCRR,Ukraine,http://ulasp.com.ua/,Multi-rightholder CMO,New,,,,Phone: +38 050 403 82 08
VDFS,Austria,https://www.vdfs.at,Performers-only CMO,New,,,,Phone: +43 1 504 76 20
VOIS,Russia,http://www.rosvois.ru/,Multi-rightholder CMO,New,,,,Phone: +7 (495) 988 68 70
