Society	"Society contact phone"	"Country ISO code"	"Main Address"	City	"Postal code"	Website	"Year of constitution"	"Society legal name"	"Scapr join date"	"Membership status"	"Rightsholder represented"
ABRAMUS	"+55 21 3078 1391"	Brazil	"Rua Castro Alves, 713, Aclimação"	"Sao Paulo"	"CEP 01532-001"	"&lt;a href=&quot;http://www.abramus.org.br&quot; target=&quot;_blank&quot; rel=&quot;noopener noreferrer&quot;&gt;http://www.abramus.org.br&lt;/a&gt;"	1982	"Associacao Brasileira de Musica e Artes"	01/05/2005	Ordinary	"Multi-rightholder CMO"
"ACTRA PRS"	"+1 416 489 1311 5021"	Canada	"625 Church Street, Suite 300"	Toronto	"ON M4Y 2G1"	"&lt;a href=&quot;https://actraracs.ca/&quot; target=&quot;_blank&quot; rel=&quot;noopener noreferrer&quot;&gt;https://actraracs.ca/&lt;/a&gt;"	1983	"ACTRA Performers&#039; Rights Society"	01/05/2010	Ordinary	"Performers-only CMO"
ADAMI	"+33 1 446 310 04"	France	"14 - 16 rue Ballu"	"Paris cedex 09"	75311	"&lt;a href=&quot;https://www.adami.fr&quot; target=&quot;_blank&quot; rel=&quot;noopener noreferrer&quot;&gt;https://www.adami.fr&lt;/a&gt;"	1955	"Administration des Droits des Artistes et Musiciens Interpretes"	05/01/1986	Ordinary	"Performers-only CMO"
AGATA	"+370 5 277 88 99 "	Lithuania	"S. Zukausko St. 39"	Vilnius	LT-09130	"&lt;a href=&quot;http://www.agata.lt&quot; target=&quot;_blank&quot; rel=&quot;noopener noreferrer&quot;&gt;http://www.agata.lt&lt;/a&gt;"	1999	"Lithuanian neighbouring rights association"	01/05/2002	Ordinary	"Multi-rightholder CMO"
AIE	"+34 917 81 98 66"	Spain	"Torrelara, 8"	Madrid	E-28016	"&lt;a href=&quot;https://www.aie.es/en/&quot; target=&quot;_blank&quot; rel=&quot;noopener noreferrer&quot;&gt;https://www.aie.es/en/&lt;/a&gt;"	1989	"Artistas, Interpretes o ejecutantes, sociedad de gestion de Espa?a"	05/01/1992	Ordinary	"Performers-only CMO"
AIPA	"+386 1 755 62 19"	Slovenia	"Dvorakova Ulica 5,"	Ljubljana	1000.0	"&lt;a href=&quot;http://www.aipa.si&quot; target=&quot;_blank&quot; rel=&quot;noopener noreferrer&quot;&gt;http://www.aipa.si&lt;/a&gt;"	2010	"Institution for asserting the rights of authors, performers and producers of audiovisual works in Slovenia"	05/01/2011	Ordinary	"Multi-rightholder CMO"
AIS	"+387 33 425 400"	"Bosnia and Herzegovina"	"Josanicka bb, Vogosca"	Sarajevo	"71 320"	"&lt;a href=&quot;https://www.aisbih.org&quot; target=&quot;_blank&quot; rel=&quot;noopener noreferrer&quot;&gt;https://www.aisbih.org&lt;/a&gt;"	2014	"Association of performers and musicians"	01/05/2017	Associated	"Performers-only CMO"
AISGE	"+34 630 932 848"	Spain	"Ruiz de Alarcon, 11"	Madrid	E-28014	"&lt;a href=&quot;http://www.aisge.es&quot; target=&quot;_blank&quot; rel=&quot;noopener noreferrer&quot;&gt;http://www.aisge.es&lt;/a&gt;"	1990	"Artistas Interpretes, Sociedad de Gestion"	01/05/2006	Ordinary	"Performers-only CMO"
AMANAT	"+7 727 313 17 02"	Kazakhstan	"597A, Seyfullin Ave., office 404"	"Almaty City"	050022	"&lt;a href=&quot;http://www.kazamanat.kz/&quot; target=&quot;_blank&quot; rel=&quot;noopener noreferrer&quot;&gt;http://www.kazamanat.kz/&lt;/a&gt;"	2009	Amanat	26/05/2016	Associated	"Multi-rightholder CMO"
APOLLON	"+30 210 325 2980"	Greece	"10 Sapfous Str."	Athens	"GR 105 53"	"&lt;a href=&quot;http://www.apollon.org.gr&quot; target=&quot;_blank&quot; rel=&quot;noopener noreferrer&quot;&gt;http://www.apollon.org.gr&lt;/a&gt;"	1997	"APOLLON Greek Musicians&#039; Royalties Collecting Society"	01/05/2003	Ordinary	"Performers-only CMO"
ARTISTI	"+1 514 288 7150"	Canada	"5445, De Gaspe avenue, suite 1005"	"Montreal (Quebec)"	"H2T 3B2"	"&lt;a href=&quot;http://www.artisti.ca&quot; target=&quot;_blank&quot; rel=&quot;noopener noreferrer&quot;&gt;http://www.artisti.ca&lt;/a&gt;"	1997	"La societe de gestion collective de l&#039;Union des artistes inc,"	27/06/2011	Ordinary	"Performers-only CMO"
ARTISTI7607	"+39 06 45472189"	Italy	"Via Giovanni Battista Tiepolo 21"	Roma	196.0	"&lt;a href=&quot;https://www.artisti7607.com/en/&quot; target=&quot;_blank&quot; rel=&quot;noopener noreferrer&quot;&gt;https://www.artisti7607.com/en/&lt;/a&gt;"	2013	"Artisti 7607 Societa Cooperativa"	26/05/2016	Associated	"Performers-only CMO"
BECS	"+44 203 946 7800"	"Great Britain"	"Plouviez House - 19-20 Hatton Place, London"	London	"EC1N 8RU"	"&lt;a href=&quot;https://becs.org.uk/&quot; target=&quot;_blank&quot; rel=&quot;noopener noreferrer&quot;&gt;https://becs.org.uk/&lt;/a&gt;"	1998	"British Equity Collecting Society Ltd"	01/05/2010	Ordinary	"Performers-only CMO"
BMDAV	"+212 537 72 62 80"	Morocco	"6, Mohammed el jazouli"	Rabat		"&lt;a href=&quot;https://www.bmda.ma&quot; target=&quot;_blank&quot; rel=&quot;noopener noreferrer&quot;&gt;https://www.bmda.ma&lt;/a&gt;"	1965	"Bureau Marocain du droits d&#039;auteur et des droits voisins"	29/05/2024	Associated	"Multi-rightholder CMO"
CPRA/GEIDANKYO	"+81 3 5353 6600"	Japan	"11F Tokyo Opera City Tower 3-20-2 Nishi-Shinjuku, Shinjuku-ku"	Tokyo	163-1466	"&lt;a href=&quot;http://www.cpra.jp&quot; target=&quot;_blank&quot; rel=&quot;noopener noreferrer&quot;&gt;http://www.cpra.jp&lt;/a&gt;"	1993	"Center for Performers&#039; Rights Administration, Geidankyo"	05/01/1996	Ordinary	"Performers-only CMO"
CREDIDAM	"+40 21 307 9200"	Romania	"Str. C.A. Rosetti no.34, sector 2"	Bucharest	RO-020015	"&lt;a href=&quot;http://www.credidam.ro&quot; target=&quot;_blank&quot; rel=&quot;noopener noreferrer&quot;&gt;http://www.credidam.ro&lt;/a&gt;"	1996	"Centrul Roman pentru Administrarea Drepturilor Artistilor Interpreti"	09/09/1999	Ordinary	"Performers-only CMO"
EEL	"+372 650 51 71"	Estonia	"Paldiski mnt. 96a, 13522 Tallinn, Estonia"	Tallinn	13522.0	"&lt;a href=&quot;http://www.eel.ee&quot; target=&quot;_blank&quot; rel=&quot;noopener noreferrer&quot;&gt;http://www.eel.ee&lt;/a&gt;"	2000	"Eesti Esitajate Liit"	01/05/2003	Ordinary	"Performers-only CMO"
EJI	"+36 147 951 69"	Hungary	"VOROSVARI UT 101"	Budapest	H-1033	"&lt;a href=&quot;http://www.eji.hu&quot; target=&quot;_blank&quot; rel=&quot;noopener noreferrer&quot;&gt;http://www.eji.hu&lt;/a&gt;"		"Bureau for the Protection of Performers&#039; Rights"	01/05/1988	Ordinary	"Performers-only CMO"
ERATO	"+30 210 823 80 74"	Greece	"4 Lazarou Sochou Str."	Athens	"115 25"	"&lt;a href=&quot;http://eratospe.org&quot; target=&quot;_blank&quot; rel=&quot;noopener noreferrer&quot;&gt;http://eratospe.org&lt;/a&gt;"	1998	"Society for the Collective Management of Singers and Performers"	01/05/2015	Ordinary	"Performers-only CMO"
ESHKOLOT	"+972 3 525 37 37"	Israel	"25  Harokmim street, Holon, Israel"	"Tel Aviv"	6407807	"&lt;a href=&quot;https://eshkolot.co.il/&quot; target=&quot;_blank&quot; rel=&quot;noopener noreferrer&quot;&gt;https://eshkolot.co.il/&lt;/a&gt;"	1984	"Eshkolot, the Company for the Performing Rights of Israeli Artists, LTD"	17/05/2023	Associated	"Performers-only CMO"
FILMEX	"+45 332 608 45"	Denmark	"Tagensvej 85, 3. sal"	Copenhagen	DK-2200	"&lt;a href=&quot;https://www.filmex.dk&quot; target=&quot;_blank&quot; rel=&quot;noopener noreferrer&quot;&gt;https://www.filmex.dk&lt;/a&gt;"	1995	"Danish Actors Association"	01/05/2009	Ordinary	"Performers-only CMO"
FKMP	"+82 2 745 8286"	"South Korea"	"4F FKMP bldg. 202-17, Heojun-ro Gangseo-gu"	Seoul	07532	"&lt;a href=&quot;https://www.fkmp.kr/eng/&quot; target=&quot;_blank&quot; rel=&quot;noopener noreferrer&quot;&gt;https://www.fkmp.kr/eng/&lt;/a&gt;"	1988	"Feredarion of Korean Music Performers"	01/05/2014	Ordinary	"Performers-only CMO"
GDA	"+351 297 982 366"	Portugal	"Avenida Defensores de Chaves, n 46 A/B"	Lisboa	1000-120	"&lt;a href=&quot;http://www.gda.pt&quot; target=&quot;_blank&quot; rel=&quot;noopener noreferrer&quot;&gt;http://www.gda.pt&lt;/a&gt;"	1995	"Gestao dos Direitos dos Artistas, Interpretes ou Executantes"	01/05/2005	Ordinary	"Performers-only CMO"
GOS	N/A	Serbia	"Kursulina no. 7/2"	Belgrade	11111	"&lt;a href=&quot;https://gos.rs/&quot; target=&quot;_blank&quot; rel=&quot;noopener noreferrer&quot;&gt;https://gos.rs/&lt;/a&gt;"	2020	"Glumacka organizacija Srbije"	16/05/2023	Associated	"Performers-only CMO"
"GRAMEX DENMARK"	"+45 338 532 00"	Denmark	"11-13 Gl. Kongevej 2nd Floor"	"Copenhagen V"	DK-1610	"&lt;a href=&quot;http://www.gramex.dk&quot; target=&quot;_blank&quot; rel=&quot;noopener noreferrer&quot;&gt;http://www.gramex.dk&lt;/a&gt;"		"GRAMEX Denmark"	05/01/1988	Ordinary	"Multi-rightholder CMO"
"GRAMEX FINLAND"	"+358 40 500 1591"	Finland	"Port of Music, Keilasatama, 2A  "	Espoo	02150	"&lt;a href=&quot;http://www.gramex.fi&quot; target=&quot;_blank&quot; rel=&quot;noopener noreferrer&quot;&gt;http://www.gramex.fi&lt;/a&gt;"	1967	"Copyright Society of Performing Artists and Phonogram Producers in Finland"	05/01/1988	Ordinary	"Multi-rightholder CMO"
GRAMO	"+47 900 948 82"	Norway	"St Olavs gate 28, 0166 Oslo, Norway"	Oslo	0160	"&lt;a href=&quot;http://www.gramo.no&quot; target=&quot;_blank&quot; rel=&quot;noopener noreferrer&quot;&gt;http://www.gramo.no&lt;/a&gt;"	1989	"Musikernes, Artistenes OG, Plateselskapenes Vederlagsbyra"	05/01/1989	Ordinary	"Multi-rightholder CMO"
GVL	"+49 30 48483"	Germany	"Podbielskiallee 64"	Berlin	14195.0	"&lt;a href=&quot;http://www.gvl.de&quot; target=&quot;_blank&quot; rel=&quot;noopener noreferrer&quot;&gt;http://www.gvl.de&lt;/a&gt;"	1959	"GESELLSCHAFT ZUR VERWERTUNG VON LEISTUNGSSCHUTZRECHTEN mbH (GVL)"	05/01/1988	Ordinary	"Multi-rightholder CMO"
HUZIP	"+385 (1) 30 33 603"	Croatia	"Ivana Broza 8A"	Zagreb	10000.0	"&lt;a href=&quot;http://www.huzip.hr&quot; target=&quot;_blank&quot; rel=&quot;noopener noreferrer&quot;&gt;http://www.huzip.hr&lt;/a&gt;"	1995	"Croatian&#039;s Collecting Rights Performers Society"	01/05/2000	Ordinary	"Performers-only CMO"
INTERGRAM	"+420 221 871 970"	"Czech Republic"	"Klimentska 1207/10"	Prague	"110 00"	"&lt;a href=&quot;http://www.intergram.cz/en/&quot; target=&quot;_blank&quot; rel=&quot;noopener noreferrer&quot;&gt;http://www.intergram.cz/en/&lt;/a&gt;"	2000	INTERGRAM	05/01/1989	Ordinary	"Multi-rightholder CMO"
IPF	"+386 527 29 32"	Slovenia	"Argentinska ulica 17"	Ljubljana	"SI 1000"	"&lt;a href=&quot;http://www.ipf.si&quot; target=&quot;_blank&quot; rel=&quot;noopener noreferrer&quot;&gt;http://www.ipf.si&lt;/a&gt;"	2000	"Collecting society for asserting rights of performers and producers of phonograms of Slovenia"	01/05/2008	Ordinary	"Multi-rightholder CMO"
ISAMRA	"+91 22 401 046 66"	India	"818, Crystal Paradise, Next to Janki Centre, Veera Desai Road, Andheri (W),"	Mumbay	"400 053"	"&lt;a href=&quot;https://www.isamracopyright.com.&quot; target=&quot;_blank&quot; rel=&quot;noopener noreferrer&quot;&gt;https://www.isamracopyright.com.&lt;/a&gt;"	2013	"Indian Singers&#039; Rights Association"	26/05/2016	Associated	"Performers-only CMO"
ITSRIGHT	"+39 0 289 056 654"	Italy	"Via Verziere 2"	Milano	20122.0	"&lt;a href=&quot;https://www.itsright.it&quot; target=&quot;_blank&quot; rel=&quot;noopener noreferrer&quot;&gt;https://www.itsright.it&lt;/a&gt;"	2010	ITSRIGHT	01/05/2014	Associated	"Performers-only CMO"
LAIPA	"+371 67605023"	Latvia	"Misas iela 3"	Riga	LV-1058	"&lt;a href=&quot;http://www.laipa.org&quot; target=&quot;_blank&quot; rel=&quot;noopener noreferrer&quot;&gt;http://www.laipa.org&lt;/a&gt;"		"Latvian Association of Performers and Producers"	01/05/2003	Ordinary	"Performers-only CMO"
LSG	"+43 1 587 1792"	AUT	"Seilerstatte 18-20/2nd floor"	Wien	A-1010	www.lsg-interpreten.com		"Wahrnehmung von Leistungschutzrechten GmbH"	05/01/1988	Ordinary	"Performers-only CMO"
MUSICARTES	"+502 2316 8116"	Guatemala	"21 ave B 0-10 Vista Hermosa 2, zona 15"	"Guatemala City"	01015	"&lt;a href=&quot;https://musicartes.org/&quot; target=&quot;_blank&quot; rel=&quot;noopener noreferrer&quot;&gt;https://musicartes.org/&lt;/a&gt;"	2007	"SOCIEDAD DE ARTISTAS DE LA MUSICA Y OBRAS AUDIOVISUALES"	29/05/2024	Associated	"Performers-only CMO"
MUYORBIR	"+90 212 241 74 76"	Turkey	"Harbiye Mah. Cumhuriyet Cad. Dörtler Apt. No:42 Kat:1"	Elmadağ-Şişli/İstanbul	34367	"&lt;a href=&quot;https://muyorbir.org.tr&quot; target=&quot;_blank&quot; rel=&quot;noopener noreferrer&quot;&gt;https://muyorbir.org.tr&lt;/a&gt;"	2000	"MÜYORBİR Müzik Yorumcuları Meslek Birliği"	2025	"Associated Member"	"Performers-only CMO"
Norma	"+31 (0) 35 62 51 770"	"The Netherlands"	"Catharina van Renneslaan 20"	Hilversum	"1217 CX"	"&lt;a href=&quot;http://www.stichtingnorma.nl&quot; target=&quot;_blank&quot; rel=&quot;noopener noreferrer&quot;&gt;http://www.stichtingnorma.nl&lt;/a&gt;"	1996	"Naburige Rechtenorganisaties voor Musici en Acteurs"	01/05/2004	Ordinary	"Performers-only CMO"
